Player,Tm,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV-,PF-,PTS,TS%,USG%,DBPM
Kent Bazemore,ATL,661,66,33,63,12,47,50,43,29,66,91,63,32,57,54,7,73,67
Kyle Korver,ATL,693,78,84,3,70,6,91,0,15,51,41,31,60,87,30,88,18,46
Dwight Howard,ATL,758,0,0,78,96,95,7,99,98,17,54,90,10,25,74,93,66,89
Paul Millsap,ATL,790,40,49,81,60,81,48,62,82,72,89,75,29,60,79,58,80,92
Dennis Schroder,ATL,816,54,73,86,49,66,59,19,13,93,34,25,4,94,83,54,89,18
Amir Johnson,BOS,524,21,81,39,90,32,41,81,53,64,41,78,67,12,29,89,15,81
Al Horford,BOS,554,56,53,68,76,53,76,56,68,88,23,96,64,79,75,70,71,93
Jae Crowder,BOS,581,83,81,19,87,37,82,26,62,57,68,39,74,52,66,91,43,57
Isaiah Thomas,BOS,762,89,54,90,45,98,89,26,3,91,34,9,26,75,99,76,98,1
Avery Bradley,BOS,951,69,89,74,63,18,48,53,77,51,54,15,52,67,81,70,76,51
Rondae Hollis-Jefferson,BRK,516,23,20,37,11,79,48,51,74,67,73,69,44,33,19,15,29,76
Brook Lopez,BRK,691,82,57,84,65,93,71,75,42,60,17,94,23,64,95,74,96,46
Trevor Booker,BRK,713,20,21,55,83,42,23,79,91,57,95,49,37,64,33,63,31,91
Bojan Bogdanovic,BRK,722,80,57,49,71,79,77,26,29,31,6,4,60,82,81,78,74,1
Sean Kilpatrick,BRK,722,71,62,60,46,92,72,19,58,64,28,9,9,74,84,73,86,8
Jerian Grant,CHI,228,45,39,57,2,26,97,5,39,62,98,25,93,30,25,3,35,63
Taj Gibson,CHI,732,7,0,89,78,50,26,82,81,33,17,82,42,41,66,68,55,75
Robin Lopez,CHI,740,7,0,85,37,19,23,97,56,8,0,96,85,82,36,18,34,75
Dwyane Wade,CHI,753,43,51,96,37,92,60,58,29,75,86,63,19,77,92,46,93,53
Jimmy Butler,CHI,944,40,56,91,45,99,89,64,60,76,86,31,42,96,96,84,92,59
Marvin Williams,CHO,605,87,60,23,8,23,52,58,72,26,7,39,96,90,45,24,45,42
Cody Zeller,CHO,647,0,0,70,92,84,20,81,70,26,23,87,70,12,60,91,38,87
Michael Kidd-Gilchrist,CHO,769,14,17,60,29,72,42,73,72,17,41,78,89,74,26,35,25,87
Kemba Walker,CHO,897,88,85,84,53,85,59,14,31,87,77,25,32,99,95,78,95,38
Nicolas Batum,CHO,931,73,51,34,15,70,60,26,84,86,61,31,23,96,57,33,67,83
J.R. Smith,CLE,590,96,63,1,0,2,54,14,2,23,80,49,93,64,21,17,23,59
Tristan Thompson,CLE,727,7,0,21,95,60,2,95,92,8,7,85,99,64,5,75,1,90
Kevin Love,CLE,772,89,84,70,64,96,81,81,96,34,61,44,32,87,96,91,92,42
Kyrie Irving,CLE,787,80,88,90,63,75,83,35,7,83,17,15,21,90,96,81,96,7
LeBron James,CLE,847,57,59,89,89,96,28,51,75,98,68,44,3,97,95,85,96,83
Salah Mejri,DAL,317,13,0,19,98,14,12,86,95,4,89,97,64,2,3,96,1,99
Dorian Finney-Smith,DAL,568,63,62,4,68,15,56,51,29,31,34,49,85,47,15,65,9,65
Deron Williams,DAL,577,76,37,56,29,62,96,3,7,97,12,9,23,52,70,34,78,3
Wesley Matthews,DAL,929,97,79,21,7,52,70,3,18,42,73,9,60,77,73,58,71,38
Harrison Barnes,DAL,987,37,53,97,48,70,79,64,44,16,34,15,74,98,89,43,90,20
Nikola Jokic,DEN,564,22,27,72,95,70,67,90,85,79,34,73,42,10,71,91,49,82
Jamal Murray,DEN,588,88,65,40,9,42,71,49,32,64,17,44,29,64,64,31,70,19
Jameer Nelson,DEN,706,57,68,37,47,8,37,19,13,87,28,4,19,18,36,40,42,14
Wilson Chandler,DEN,740,70,60,82,50,59,43,67,75,35,34,15,60,67,83,45,82,20
Danilo Gallinari,DEN,830,64,70,33,21,93,83,19,40,40,12,25,70,99,73,79,53,24
Ish Smith,DET,792,23,24,81,24,26,48,10,29,96,49,39,52,79,40,9,57,59
Andre Drummond,DET,838,7,99,94,73,84,2,96,100,17,93,81,26,38,76,48,79,96
Marcus Morris,DET,934,66,66,63,50,19,71,39,38,38,34,31,79,85,67,46,64,63
Kentavious Caldwell-Pope,DET,935,80,77,50,18,50,70,49,13,67,64,9,79,92,71,46,66,59
Tobias Harris,DET,958,50,50,79,71,53,91,26,55,34,23,57,67,90,79,67,73,65
Andre Iguodala,GSW,665,40,40,8,93,10,10,35,44,80,54,44,96,92,6,51,2,67
Draymond Green,GSW,886,45,54,21,42,53,23,69,85,95,97,84,42,47,25,40,28,98
Kevin Durant,GSW,961,61,83,87,93,95,81,26,89,80,61,89,37,87,97,98,92,87
Stephen Curry,GSW,927,99,82,48,86,89,95,32,36,89,83,15,11,71,96,97,93,25
Klay Thompson,GSW,941,95,72,70,82,47,90,26,12,42,12,31,52,87,91,80,87,3
Clint Capela,HOU,686,0,0,87,97,62,2,88,91,16,7,95,52,23,74,94,53,81
Ryan Anderson,HOU,858,94,81,18,18,35,84,72,46,11,6,9,89,90,65,69,48,10
Eric Gordon,HOU,860,99,92,24,26,45,65,10,7,62,23,49,39,77,87,88,78,8
Trevor Ariza,HOU,934,95,73,4,87,10,37,35,51,35,95,25,93,98,48,78,27,73
James Harden,HOU,1030,96,62,65,65,99,75,53,78,100,73,25,1,74,97,89,98,78
Paul George,IND,743,82,79,80,46,75,94,46,71,62,91,31,13,64,91,73,92,53
Monta Ellis,IND,753,29,37,40,42,40,76,1,31,75,64,49,19,67,25,39,34,57
Myles Turner,IND,788,24,68,79,86,84,62,69,81,13,41,98,60,25,80,91,69,89
Thaddeus Young,IND,853,29,93,53,84,13,10,65,64,23,64,57,57,96,45,82,33,65
Jeff Teague,IND,887,40,39,67,35,90,70,14,39,96,94,49,13,64,74,55,78,59
