Player,Tm,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,TS%,USG%,DBPM,G
Toney Douglas,MEM,107,5.3,0.273,12.1,0.44,2.4,0.8,1,6.8,7.7,2.9,0.5,2.4,4.3,16.9,0.458,18.2,1.6,
Kay Felder,CLE,108,1.8,0.5,16.2,0.4,7.4,0.75,0.9,6,9.7,0.9,0.5,4.2,5.1,21.3,0.5,22.5,-1.6,
Chris Andersen,CLE,114,1.3,0,8.3,0.474,6.1,0.714,3.9,9.6,2.2,2.2,3.1,2.2,8.8,12.3,0.497,12.8,3.6,
Brandon Bass,LAC,118,0.4,1,14.8,0.486,2.5,1,3,5.5,3,0.4,1.3,1.7,5.1,18.2,0.556,16,-0.2,
Jake Layman,POR,118,13.7,0.242,5.8,0.5,3.7,0.778,0.8,4.1,2.5,2.5,0.4,1.7,5,18.6,0.442,20.3,-3.4,
Gerald Green,BOS,120,10.8,0.269,10.4,0.32,3.3,0.75,1.7,7.1,6.7,1.3,0.4,2.9,5,17.9,0.394,22.9,-1.7,
Timothe Luwawu-Cabarrot,PHI,121,4.9,0.25,9.4,0.391,7.4,0.667,0.4,6.2,2.5,2.1,1.2,2.1,7,16,0.454,17.5,-0.2,
Brandon Rush,MIN,121,5.8,0.286,4.2,0.2,0.8,0.5,0,5.8,2.9,0.8,0.8,2.1,2.1,7.1,0.342,10.8,-1.2,
Kevin Seraphin,IND,124,0,,20.2,0.49,1.6,0.5,7.1,10.7,3.2,1.2,2,3.2,5.6,20.6,0.493,21.7,0.5,
Sasha Vujacic,NYK,124,7.6,0.263,5.2,0.462,1.6,0.75,0.8,8,5.6,1.6,0,3.6,6,12,0.444,14.8,-1.2,
Chandler Parsons,MEM,126,8.6,0.238,10.2,0.52,2.5,0.833,0.8,6.6,2,0.8,0.8,3.3,2,18.8,0.473,20.3,-0.7,
Tyler Ennis,HOU,130,4.2,0.364,12.1,0.406,0.8,0.5,1.5,3,9.1,1.9,0,5.7,7.5,14.7,0.444,19.5,-2.3,
Dirk Nowitzki,DAL,131,8.8,0.273,18.1,0.4,2.8,1,0.8,12.1,2.8,1.2,1.2,2,3.6,24.5,0.435,27.1,-0.8,
Anthony Brown,NOP,143,8.2,0.25,5.8,0.471,0,,2.1,6.8,2.1,1.7,0.3,1.7,4.4,11.6,0.415,14.2,-0.2,
Jordan McRae,CLE,144,6.2,0.278,17.3,0.32,2.8,0.875,1,4.5,3.1,1.4,0.7,1.4,4.2,18.7,0.378,23.1,-2.2,
Damjan Rudez,ORL,144,9.5,0.333,2.5,0.571,0,,1.8,4.2,2.5,2.5,0,2.1,6,12.3,0.515,12.5,-0.4,
Nicolas Brussino,DAL,149,7.1,0.3,3.9,0.455,2.5,0.857,1.4,6.7,6.4,2.1,1.1,2.5,4.6,12,0.499,13.1,1.3,
Marcelo Huertas,LAL,150,3.9,0.167,8.4,0.5,3.2,0.5,0.3,4.2,12,2.6,0.3,4.9,3.9,12,0.436,16.2,-2.6,
Rashad Vaughn,MIL,150,11.6,0.343,6.6,0.45,0,,0,4.6,1,1.7,1.3,1,2.7,17.9,0.491,17.1,-1.4,
